Song,Artist,Album,Cover,Duration,Bitrate,Popularity,MV Link,Paid,Release Date
Stereo Hearts,Gym Class Heroes / Adam Levine,Stereo Hearts,http://p2.music.126.net/i_zOcnykupRVrA_YH24IHQ==/109951169284168453.jpg,3:30,1028 kbps,100,https://music.163.com/mv?id=29151,是,2011-10-09
Addicted,Alex Parker / Misha Miller,Addicted,http://p1.music.126.net/C8HR-4uBC4DZ4ZAyXDg4ug==/109951164871524025.jpg,3:02,1648 kbps,100,,是,未知日期
novocaine,GenriX / CORBAL / Shiloh Dynasty,"unfortunately yours,",http://p1.music.126.net/OjEQkRWt_RJU6ltlHNfh4w==/109951168146345169.jpg,3:15,896 kbps,100,,是,2023-01-13
Diet Mountain Dew,Lana Del Rey,Born To Die (Deluxe Version),http://p1.music.126.net/C9_2FNESY_05K8TEaH3-mw==/109951170152779342.jpg,3:42,966 kbps,100,,是,2012-01-01
诀别无尽夏,Youzee Music,诀别无尽夏,http://p1.music.126.net/LpJQWKI-HVyze5CXT99phw==/109951169875921661.jpg,2:10,883 kbps,100,,是,未知日期
Gas Station Diner,AGA,Gas Station Diner,http://p2.music.126.net/qF2W4nInrzezL4lnJsrPEQ==/109951170474997152.jpg,4:30,824 kbps,100,https://music.163.com/mv?id=22688247,是,2025-02-14
Landslide,Oh Wonder,Landslide,http://p2.music.126.net/tMxtB-0f2b0IoFZrBwKGTw==/109951167002309704.jpg,3:28,823 kbps,100,,是,2015-07-03
goldfish.,URii,goldfish.,http://p2.music.126.net/3L06tOuSkouoTf4Zzd4M5Q==/109951164684585145.jpg,3:54,2304 kbps,35,,是,未知日期
LINDA,린다G / 李孝利 / 尹美莱,두리쥬와 X LINDA X 신난다,http://p1.music.126.net/Y_5xO-58vae2sYrz6C16Cw==/109951165196571946.jpg,4:28,936 kbps,75,https://music.163.com/mv?id=10950948,是,2020-08-01
小城大事,杨千嬅,电光幻影,http://p2.music.126.net/O-4LQ8-dYz0oHRIenG1KoQ==/109951164016432343.jpg,3:28,774 kbps,100,https://music.163.com/mv?id=5564634,是,2004-06-26
Losin' Sleep,David Archuleta,Losin' Sleep,http://p2.music.126.net/cVhnX_oYyJBvxFRuTZJXYg==/109951165839325309.jpg,2:43,1456 kbps,100,https://music.163.com/mv?id=14301281,是,2021-05-13
How High,Charlotte Cardin,99 Nights,http://p2.music.126.net/BMGKMRTGJzwmkvyt39h3aw==/109951168862781931.jpg,3:12,947 kbps,95,,是,2023-08-25
Jesus In LA,Alec Benjamin,Jesus In LA,http://p2.music.126.net/FACdhVsf6lvJbjZ2a7qA8A==/109951164210979528.jpg,2:51,948 kbps,100,https://music.163.com/mv?id=10878431,是,2019-07-16
song4love.,8bite,song4love/me,http://p1.music.126.net/0cL-WpiyPqCuudwSsXLvMA==/109951169566750382.jpg,3:28,953 kbps,100,,是,未知日期
晨曲（morning mood）,MT1990,晨曲（morning mood）,http://p2.music.126.net/BX3z8210gbQ8P0D04aeHsg==/109951170627328901.jpg,4:27,1316 kbps,100,,是,未知日期
Midnight Sky,Sveribe,Midnight Sky,http://p2.music.126.net/BcpzkrFF5M6NZ112KbnnYw==/109951170127500183.jpg,3:04,848 kbps,100,,是,2024-10-21
Begging You (Guide Ver.) (Bonus Track),2Lson,The First,http://p2.music.126.net/I-VUa-DQAMHC_VjKEHKceg==/109951169494175857.jpg,3:38,841 kbps,100,,是,2012-12-18
1년 정거장,G-DRAGON,Heartbreaker,http://p2.music.126.net/ZVLqJJueEWHTXkYYpmqQzA==/109951167720318239.jpg,4:05,1057 kbps,100,,是,2009-08-19
HOV,Graham,HOV,http://p2.music.126.net/Z2Z02V-SAEJk9laC_1JmJw==/109951168841275908.jpg,2:25,815 kbps,100,,是,2023-08-18
소년이여,G-DRAGON,Heartbreaker,http://p2.music.126.net/ZVLqJJueEWHTXkYYpmqQzA==/109951167720318239.jpg,3:29,995 kbps,100,https://music.163.com/mv?id=33576,是,2009-08-19
我只在乎你 2.0（LIVE版）,MC HotDog 热狗 / Capper / GALI / TizzyT / 刘炫廷,中国说唱巅峰对决 总决赛（下集）,http://p1.music.126.net/afasI3UOTaJ2Xv6Esj3-Lw==/109951167865802615.jpg,4:39,1046 kbps,100,,是,未知日期
蝴蝶,step.jad依加,蝴蝶,http://p2.music.126.net/6_le-_uLtKuggJ3JrGaQ5A==/109951169826496499.jpg,3:48,939 kbps,95,,是,未知日期
Synchronize,Milky Chance,Synchronize,http://p1.music.126.net/Jx9L6yBZY-phXD8F3utw2w==/109951167106493313.jpg,2:44,1014 kbps,100,https://music.163.com/mv?id=14508099,是,2022-03-09
Last Call,Hudson Thames,Last Call,http://p2.music.126.net/lrxvkIkhvkHeA2DduuVTxg==/109951163599068909.jpg,3:36,1002 kbps,100,https://music.163.com/mv?id=14264785,是,2018-10-12
Gotta Be A Reason,Alec Benjamin,Narrated For You,http://p1.music.126.net/sgov4rBs12EN8IkmQL1fYA==/109951163787355382.jpg,3:30,830 kbps,100,,是,2018-11-16
Crush Confession,Mona Lisa Heartfelt,Crush Confession,http://p1.music.126.net/KyqmaF1dbaVEadO45bWhmA==/109951170723494318.jpg,2:46,1482 kbps,100,,是,2024-11-20
我愿,阿虾,我愿,http://p2.music.126.net/LSABk4kFpxAAgRCAJR3lfg==/109951164005597173.jpg,3:41,849 kbps,100,,是,2019-04-17
2001,FINNEAS,For Cryin' Out Loud!,http://p2.music.126.net/KnGSuouYF5-ctpCSrR-VpA==/109951170014537261.jpg,3:20,909 kbps,100,https://music.163.com/mv?id=22752895,是,2024-10-04
Roots,Calum Scott,Roots,http://p1.music.126.net/L213SzcqP-qWHs3Uk57UqA==/109951169773969942.jpg,2:43,1024 kbps,100,,是,2024-07-12
7 Years,Lukas Graham,Lukas Graham,http://p1.music.126.net/C-OacRqh41bAq-75Y4DDkg==/109951166367895646.jpg,3:57,902 kbps,100,https://music.163.com/mv?id=5322324,是,2016-04-01
Shivers,Ed Sheeran,Shivers,http://p1.music.126.net/mhTe9nFf39s4_ofTMG2bQg==/109951166364187589.jpg,3:27,1075 kbps,100,https://music.163.com/mv?id=14315635,是,2021-09-10
P.D.A. (We Just Don't Care),John Legend,Once Again,http://p1.music.126.net/CNCOBu8u7bzW0Feg2O9SlQ==/109951165969004100.jpg,4:38,905 kbps,95,https://music.163.com/mv?id=508060,是,2006-10-24
Volta,Boogie Belgique,Volta,http://p1.music.126.net/3-azPsjYHzZUpIV5OD76lQ==/109951166592594157.jpg,4:39,1496 kbps,100,,是,未知日期
Germinate,K. C. Roller,Silvery Night,http://p2.music.126.net/7wW5SIWBQRQEEqbkRXy6cw==/109951169889859456.jpg,2:45,711 kbps,100,,是,2024-08-20
Afterthought,Joji / BENEE,Nectar,http://p2.music.126.net/UOJWgqHcpjSb1l9LBqMkNg==/109951170289916379.jpg,3:14,1433 kbps,100,https://music.163.com/mv?id=10962148,是,2020-09-25
What You Won't Do for Love,Bobby Caldwell,Free Soul Drive with Bobby Caldwell,http://p2.music.126.net/vvFm4YYSOn1dQ1AS8Fecvg==/1693247906776720.jpg,4:46,844 kbps,100,,是,2005-04-02
BITTERSUITE,Billie Eilish,HIT ME HARD AND SOFT,http://p2.music.126.net/NZOnDqpyTA45AWL8kGsqxg==/109951169679537837.jpg,4:58,697 kbps,95,https://music.163.com/mv?id=14720695,是,2024-05-17
THE DINER,Billie Eilish,HIT ME HARD AND SOFT,http://p2.music.126.net/NZOnDqpyTA45AWL8kGsqxg==/109951169679537837.jpg,3:06,715 kbps,95,https://music.163.com/mv?id=22653375,是,2024-05-17
Get To Know,Cosmo's Midnight / Winston Surfshirt,Get To Know,http://p2.music.126.net/Re3F8aA3Dkq2A7on5F1owQ==/109951165984000982.jpg,4:03,1621 kbps,25,https://music.163.com/mv?id=14379190,是,2018-02-16
System,Sevdaliza,Raving Dahlia,http://p1.music.126.net/q4oKTY0g9_TS0D-FEDf3bw==/109951167180069720.jpg,4:51,722 kbps,25,,是,2022-02-25
再见（good bye）,G.E.M.邓紫棋,新的心跳,http://p1.music.126.net/kVwk6b8Qdya8oDyGDcyAVA==/1364493930777368.jpg,3:26,882 kbps,100,https://music.163.com/mv?id=499045,是,2015-11-06
Vapor Trail,Samurai_Work_Tunes,Sake After Dark,http://p2.music.126.net/EcJTMyURfwP_RMqWFnKpYA==/109951170290350582.jpg,1:25,658 kbps,80,,是,2024-12-20
"Kiss Me, Kill Me",ARI HICKS,"Kiss Me, Kill Me",http://p2.music.126.net/k2TAOpRaMwyczdnfhOpEHw==/109951165951970528.jpg,3:02,1676 kbps,100,https://music.163.com/mv?id=14673103,是,2020-10-30
DUMB,Noga Erez,THE VANDALIST,http://p2.music.126.net/__88Wla41YPIUjCpR22XRw==/109951169968836470.jpg,2:16,900 kbps,100,,是,2024-09-20
カゲロウ,荘野ジュリ,36度5分,http://p1.music.126.net/Kii9RX-uWZBEFBwKVrz2Cg==/587139209244451.jpg,4:56,836 kbps,95,,否,2004-12-03
这条小鱼在乎,王OK / 洪佩瑜,不完全自救手册,http://p2.music.126.net/hxgaqqn68ZSYZXpch_1aOA==/109951169613965412.jpg,4:31,833 kbps,100,https://music.163.com/mv?id=14716747,是,2024-04-28
Turnin',Young Rising Sons,Young Rising Sons,http://p2.music.126.net/_3YCwTf4yAB-pMP7j70sUg==/5896680860106448.jpg,3:29,879 kbps,100,,是,2014-07-22
Tuesday,阿白 Coral,Tuesday,http://p2.music.126.net/73Acuw1l7Wc7Q98-FkIwBw==/109951168224246420.jpg,2:30,906 kbps,100,,是,2022-12-20
Winter Wishlist,Youzee Music,冬日愿望清单,http://p2.music.126.net/WDUq07WS3PUEJ6bEQtcFlw==/109951170233381606.jpg,2:42,915 kbps,100,,是,未知日期
岁月里的花,莫文蔚,岁月里的花,http://p2.music.126.net/p-AES0BD8bMDBesc-VujkQ==/109951170702108447.jpg,4:14,811 kbps,100,,是,2025-04-09
再谈记忆,盘尼西林,与世界温暖相拥,http://p1.music.126.net/DkUQn66UvzFd0mYBGU-iPw==/18721384488023373.jpg,5:38,801 kbps,100,,是,2017-04-18
Five Hundred Miles,Justin Timberlake / Carey Mulligan / Stark Sands,Inside Llewyn Davis: Original Soundtrack Recording,http://p1.music.126.net/4BTe96FPQ_kW1pmNnlNvHg==/2536573326765583.jpg,3:27,796 kbps,100,https://music.163.com/mv?id=5587174,是,2013-09-17
Just Give Me a Reason,P!nk / Nate Ruess,The Truth About Love,http://p1.music.126.net/wfSNLAiKlvSQs1Yx1v7moA==/109951167487398037.jpg,4:02,1478 kbps,100,https://music.163.com/mv?id=14330601,是,2012-09-18
鲜花,回春丹,鲜花,http://p1.music.126.net/fKJMTONzRMaeVthOmEvd9A==/109951168948248373.jpg,5:41,1121 kbps,100,,是,未知日期
Kill Bill,SZA,SOS,http://p2.music.126.net/qQ5e7rM-xY6YWJW9_3tR-w==/109951168121859537.jpg,2:33,1504 kbps,100,https://music.163.com/mv?id=14617727,是,2022-12-09
Slip,Elliot Moss,Highspeeds,http://p2.music.126.net/hk2URY0-7sqMMByfRvNdnA==/109951163384056226.jpg,4:58,774 kbps,100,https://music.163.com/mv?id=14583068,是,2015-04-28
Sofía,Álvaro Soler,Sofia,http://p2.music.126.net/j6INO5-yI7cN1Dy5Thostg==/1382086122014772.jpg,3:30,984 kbps,100,https://music.163.com/mv?id=5309797,是,2016-04-15
Azure Spiral,Samurai_Work_Tunes,Electric Afterglow,http://p1.music.126.net/8z0BeUpf6sOCw0UGr6Kv8g==/109951170302579738.jpg,2:49,570 kbps,100,,是,2024-12-23
One Call Away,Charlie Puth,Nine Track Mind,http://p2.music.126.net/LWwUPfPdsKgFss-QMGvnxw==/109951169407176829.jpg,3:14,887 kbps,100,https://music.163.com/mv?id=477481,是,2016-01-29
春禾,Youzee Music,春禾,http://p2.music.126.net/Nbq2akzthvXIJP6xSr_9yA==/109951170758787069.jpg,2:38,953 kbps,100,,是,2025-04-04
Let Go,Beau Young Prince,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),http://p1.music.126.net/DuVgqyhReKqkiEXF7F10Bg==/109951169303143312.jpg,2:57,726 kbps,100,https://music.163.com/mv?id=10859306,是,2018-12-14
Meant To Be,Arc North / Krista Marina,Meant To Be,http://p1.music.126.net/Zi6fKsS9k_Tyy8knE82spg==/109951163371292061.jpg,3:28,977 kbps,100,https://music.163.com/mv?id=22593372,是,2016-11-11
Nothing's New,Rio Romeo,Good God!,http://p1.music.126.net/eTee2dgzJ6cq6HEo-3NZJw==/109951167695841591.jpg,3:31,766 kbps,100,,是,2022-09-23
Warm (feat. Mia),Dre'es / Mia,Warm (feat. Mia),http://p1.music.126.net/lUr_3hI44YpbLCeTzH-OlQ==/109951168286424435.jpg,4:15,1440 kbps,100,,是,2018-01-24
CHIHIRO,Billie Eilish,HIT ME HARD AND SOFT,http://p2.music.126.net/NZOnDqpyTA45AWL8kGsqxg==/109951169679537837.jpg,5:03,745 kbps,100,https://music.163.com/mv?id=14722474,是,2024-05-17
Espresso,Sabrina Carpenter,Espresso EP,http://p1.music.126.net/nRwE9FuDlCQT0l04NmlFrA==/109951169597396221.jpg,2:55,1029 kbps,100,https://music.163.com/mv?id=14722175,是,2024-05-17
Gotta Have You,The Weepies / Deb Talan / Steve Tannen,Say I Am You,http://p2.music.126.net/EUF1CK9GOrtT0ykWrv5jkQ==/109951167031383017.jpg,3:19,1569 kbps,100,,是,2006-02-07
Want You All The Time,Bryant Barnes,VANITY,http://p2.music.126.net/u2LEm2PvrP5_sTtzgdV5Lw==/109951169818669299.jpg,2:22,825 kbps,100,https://music.163.com/mv?id=22605737,是,2024-07-26
천국,BIGBANG,Stand Up,http://p1.music.126.net/NhfGHQAS-f_kkwzOtIMVxg==/942281465029058.jpg,3:52,1039 kbps,100,,是,2008-08-08
Stay Alive,闫泽欢,野人,http://p1.music.126.net/6uqAAslPuH-UuvQ6nwaZJg==/109951168876170643.jpg,4:10,772 kbps,95,,是,2023-08-31
出众,李学仕,明天见,http://p1.music.126.net/BB-ASHmLGbg3yDzti1KztQ==/109951168994000548.jpg,3:46,841 kbps,95,,是,2023-10-27
All Right,金艺林,A VOICE,http://p2.music.126.net/JNPonxXVyLL8gr-oIcdGWQ==/109951164672066560.jpg,3:28,1162 kbps,95,https://music.163.com/mv?id=10912561,是,2013-06-17
晚风,好妹妹乐队 / 小娟&山谷里的居民,南北,http://p2.music.126.net/DESI7B-JbCc5lc82W9OApw==/18618030394501261.jpg,5:27,751 kbps,100,,是,2013-05-07
The Story Never Ends (Piano Version),Lauv,The Story Never Ends (Piano Version),http://p1.music.126.net/Xt4TxqCbVxsLVxhM61vwBg==/18360744673031690.jpg,3:49,800 kbps,100,,是,2016-10-20
童话镇,暗杠,童话镇,http://p1.music.126.net/xmYUW7yYS02Tc0McsGdKWA==/18345351510075909.jpg,4:10,844 kbps,100,https://music.163.com/mv?id=22631916,是,2016-05-24
Dangerously,Charlie Puth,Nine Track Mind,http://p2.music.126.net/LWwUPfPdsKgFss-QMGvnxw==/109951169407176829.jpg,3:19,925 kbps,100,https://music.163.com/mv?id=5386016,是,2016-01-29
XO,John Mayer,XO,http://p1.music.126.net/4ThVX4zbl4mXJ3Z8usV1Lg==/109951165970801786.jpg,3:34,878 kbps,70,https://music.163.com/mv?id=14384727,是,2014-05-28
Wonderful U (Demo Version),AGA,Ginadoll,http://p1.music.126.net/uyNMGdgqRHO1-1Rk6uMQEQ==/109951169358377101.jpg,4:08,890 kbps,100,https://music.163.com/mv?id=10943810,是,2016-03-14
for him.,Troye Sivan / Allday,Blue Neighbourhood (Deluxe),http://p1.music.126.net/iOeMIf1fhlHotBAx-Vooyw==/3404088002870760.jpg,3:29,939 kbps,100,https://music.163.com/mv?id=5307378,是,2015-12-04
"Once You've Met Someone, You Never Really Forget Them",Moments With You,"Once You've Met Someone, You Never Really Forget Them",http://p2.music.126.net/jhu0h_f2cVlsZd-Iz10-dw==/109951169298175255.jpg,3:08,619 kbps,95,,是,2016-09-11
Attention,Charlie Puth,Voicenotes,http://p1.music.126.net/RNl__JslenVhRoOvGmdZAg==/109951165991701088.jpg,3:28,962 kbps,100,https://music.163.com/mv?id=5499051,是,2018-05-11
Lean On,Major Lazer / DJ Snake / MØ,Lean On,http://p1.music.126.net/jEQ5alcWAhixt2PXCcQ3eg==/7698780418469506.jpg,2:56,1007 kbps,100,https://music.163.com/mv?id=389201,是,2015-03-02
BORN HATER,Epik High / Beenzino / Verbal Jint / B.I / 宋旻浩 / 金知元,신발장,http://p1.music.126.net/xeT4kHE3nfGFXA3cRO45Gw==/109951167720840205.jpg,5:27,881 kbps,90,https://music.163.com/mv?id=353182,是,2014-10-21
Fingers Crossed,Billie Eilish,Fingers Crossed,http://p1.music.126.net/bjgNwLZGQY9eV3yjC9H_iQ==/109951168308756950.jpg,3:39,597 kbps,90,,否,2015-09-14
Price Tag,Fréro Delavega,Fréro Delavega,http://p1.music.126.net/gEyHtUGIggU3Uh_shXQ4EQ==/5991238860269769.jpg,2:54,930 kbps,85,,是,2014-07-18
No Fear In My Heart,朴树,No Fear In My Heart,http://p1.music.126.net/YLJF2EjAz7g7HRPpDvt5YQ==/18499283139280263.jpg,6:35,914 kbps,100,https://music.163.com/mv?id=5565903,是,2017-06-19
Lost Stars,Adam Levine,V,http://p1.music.126.net/RkbAVgGxk1Nr5fjuaR9dww==/19175482788569403.jpg,4:26,961 kbps,80,https://music.163.com/mv?id=384136,是,2014-09-02
Goodbye My Lover,James Blunt,Back to Bedlam,http://p2.music.126.net/yflY3bOmyo7OKKhcJSrOGg==/109951169118595506.jpg,4:19,1347 kbps,90,,是,2005-10-04
Breathe,James Blunt,When I Find Love Again,http://p1.music.126.net/N7f-YxiaPmoFpZaAIRaKSA==/109951163115401398.jpg,4:21,964 kbps,90,,是,2014-10-31
There For You,Martin Garrix / Troye Sivan,There For You,http://p1.music.126.net/FBTWTOCJqIzwGkFyvfLAIw==/109951165981772293.jpg,3:41,1659 kbps,100,https://music.163.com/mv?id=5547010,是,2017-05-26
说散就散,JC 陈咏桐,说散就散,http://p1.music.126.net/LSBrAS5oxxQHouvqLDR4lA==/19095218439644352.jpg,3:50,877 kbps,100,https://music.163.com/mv?id=5540146,是,2016-06-14
再也没有,永彬Ryan.B / AY楊佬叁,再也没有,http://p1.music.126.net/B7MRU9cieODaInnwzyLwYQ==/18771962022944662.jpg,3:32,880 kbps,100,https://music.163.com/mv?id=5843664,是,2017-05-31
Fresh Eyes,Andy Grammer,Fresh Eyes,http://p2.music.126.net/IqST9r86z7jFsraYTzQUww==/109951169030392822.jpg,3:18,923 kbps,95,https://music.163.com/mv?id=5439372,是,2016-09-02
Rolling in the Deep,Adele,Rolling in the Deep,http://p2.music.126.net/GgFkzR6_T5jW2msFLU7rKg==/109951168981890417.jpg,3:48,954 kbps,100,https://music.163.com/mv?id=5056,是,2011-01-16
Whataya Want From Me,Adam Lambert,Absolute Summer Hits 2010,http://p1.music.126.net/u-27BEkuyt-9fYDg5BF1pA==/5706465348255001.jpg,3:46,1038 kbps,75,https://music.163.com/mv?id=307038,是,2010-06-22
假装,陈雪凝,拾陆,http://p1.music.126.net/LLI28TeCfNBo6DK1Ct1k4Q==/109951163249809425.jpg,4:24,836 kbps,100,,是,2017-09-09
Lose You Tonight,Kristina Train,Dark Black,http://p2.music.126.net/J0TGWgZXxOG0uT2wt426nw==/6642149744081466.jpg,3:34,848 kbps,85,,是,2013-01-01
Walkin' On Me,Big House,Akella Presents Various Styles Of Blues vol.1,http://p1.music.126.net/1R0d7ebIAKayiyyH96RI6g==/2490393836967716.jpg,4:42,937 kbps,75,,否,2013-05-17
Six Feet Under,Billie Eilish,Six Feet Under,http://p2.music.126.net/ijP5nfST3YxxzJ2mXTEbag==/1393081244481550.jpg,3:11,803 kbps,100,https://music.163.com/mv?id=5393143,是,2016-11-17
21,RAiNBOW计划 / 刘雨含,黄,http://p1.music.126.net/S1rznmHeSONtIyaXVzxHcw==/109951166119022675.jpg,3:53,898 kbps,95,https://music.163.com/mv?id=5461113,是,2017-03-20
물감,MoonMoon,물감,http://p2.music.126.net/-WgLGqZJvWSWH1d8W-zl4Q==/109951170926351815.jpg,3:08,830 kbps,25,,是,2017-04-24
Fallin' All In You,Shawn Mendes,Shawn Mendes,http://p1.music.126.net/bsRTSp5Q-6HaNvX0OsnxeA==/109951169630453821.jpg,3:55,899 kbps,100,,是,2018-05-25
휑해,Croq,휑해,http://p1.music.126.net/lYQlh6n8SFmqdVZEsQ2d2g==/1394180758577433.jpg,3:27,973 kbps,80,,否,2015-08-07
夜长梦多,李上安,秋千,http://p2.music.126.net/8JrYu0edGVkDqITQfA0cig==/109951162920511105.jpg,3:33,1513 kbps,100,,是,2016-09-18
Got It,Marian Hill,Got It,http://p1.music.126.net/G9KD7lHrdMzARmJNY-LkRA==/3245758326441066.jpg,3:12,813 kbps,100,,是,2014-12-02
my boy,Billie Eilish,dont smile at me,http://p2.music.126.net/KZ7BIFMPpGA0h0HZQ7XcjA==/18358545649741824.jpg,2:50,825 kbps,95,,是,2017-07-28
Put Your Records On,Corinne Bailey Rae,Corinne Bailey Rae (Deluxe Edition),http://p2.music.126.net/HDZ-c5hgSOpijb0EK_UkyQ==/109951163412346132.jpg,3:35,1526 kbps,90,,是,2006-02-24
Airplane Mode (Instrumental),limbo,Airplane Mode,http://p2.music.126.net/3OxW1tJvLTBcc9qMxS2sug==/109951165117329932.jpg,2:44,1266 kbps,95,,是,2017-04-26
Just The Two Of Us,王若琳,The Adult Storybook,http://p2.music.126.net/wAoBTppLPOU04VqmE1Fucg==/109951169035725280.jpg,3:58,868 kbps,100,,是,2009-07-13
Kiki Do You Love Me?,Kiki Rowe,Kiki Do You Love Me?,http://p1.music.126.net/BJdcMRMfSbD-gL0qAvlDQw==/109951170729402751.jpg,2:28,746 kbps,100,,是,2018-07-18
Strange Days,ODD PALMER,Strange Days,http://p2.music.126.net/1ia1X52QEVcJD0l38pW1WQ==/109951165252252286.jpg,1:36,1412 kbps,95,,是,2017-01-24
In My Feelings,Drake,Scorpion,http://p2.music.126.net/I4xRY1Nd46fygwWIRY63DA==/109951163381683537.jpg,3:37,718 kbps,100,https://music.163.com/mv?id=10752154,是,2018-06-29
"City Of Stars (From ""La La Land"" Soundtrack)",Ryan Gosling / Emma Stone,La La Land (Original Motion Picture Soundtrack),http://p2.music.126.net/CrAb6Ryc5osJUM6zuoqxuw==/109951171012054073.jpg,2:29,655 kbps,100,https://music.163.com/mv?id=5407011,是,2016-12-09
Broken Clocks,SZA,Ctrl,http://p1.music.126.net/B86q7zPGxvrd8flBXqmolw==/109951165981854149.jpg,3:51,1527 kbps,100,https://music.163.com/mv?id=5872034,是,2017-06-09
Mama He Treats Your Daughter Mean (Genre Soundtrack),Ruth Brown,VINYL: Music From The HBO® Original Series - Vol. 1,http://p2.music.126.net/e3eRDz6e8EO-IN-YurFxew==/109951166468796647.jpg,2:57,731 kbps,10,,是,2016-02-12
Reality,Lost Frequencies / Janieck,Reality,http://p1.music.126.net/QSK1HDTVJToJGD9ZLT90zA==/109951168660488322.jpg,2:39,910 kbps,100,https://music.163.com/mv?id=419296,是,2015-05-22
怦然心动,李上安,慢,http://p1.music.126.net/_XrcPAzO50NZoMpk8FSEPw==/109951163385682767.jpg,3:53,633 kbps,50,,是,2018-08-21
Seasons of Love,Various Artists,Rent (2005 Movie Soundtrack),http://p2.music.126.net/Eh6jMprGWNze3JFp461gcw==/109951170764636923.jpg,3:02,955 kbps,100,,是,2005-09-27
When I Was Your Man,Bruno Mars,Unorthodox Jukebox,http://p1.music.126.net/KpOAp9SzO7slSikvJa84mA==/109951166652562200.jpg,3:33,759 kbps,100,https://music.163.com/mv?id=243,是,2012-12-07
In Seoul (Feat. 선우정아),Epik High / 鲜于贞娥,sleepless in __________,http://p1.music.126.net/e2oV4xX6q2R_GF0b7Es1oQ==/109951168700986040.jpg,3:42,849 kbps,55,,是,2019-03-11
Chivalry Is Dead,Trevor Wesley,Chivalry Is Dead,http://p2.music.126.net/cm3TEHItRP5lrBy8s3l2Yw==/109951163788372821.jpg,3:28,942 kbps,75,,是,2015-05-03
Comfortable,Lauv,Lost in the Light,http://p2.music.126.net/QLXg7xVixZFo6hKggTE4_Q==/18348650045111112.jpg,2:45,948 kbps,85,,是,2015-09-25
tonight,Demxntia,goodnight,http://p2.music.126.net/RStG0w35qnBN3Oz56GQkuA==/109951167897682428.jpg,1:24,1374 kbps,100,,是,2018-06-02
血腥爱情故事,张惠妹,阿密特2,http://p1.music.126.net/pGXPKfyPNBdY1dkG88U2cg==/109951166988661477.jpg,4:22,917 kbps,100,https://music.163.com/mv?id=399088,是,2015-04-04
Foreplay,Jalen Santoy,Charlie Eastern,http://p2.music.126.net/NRux6Wb1YvKHWVtHFAJvSg==/109951163784056978.jpg,2:51,796 kbps,100,,是,2016-11-18
Bridge of Faith,王力宏 / 谭维维,The Great Wall (Original Motion Picture Soundtrack),http://p1.music.126.net/qf8pMLD1W0Tr62m1XAxlkQ==/109951167202921247.jpg,4:26,880 kbps,100,,否,2017-01-06
都对也都错,张惠妹,偏执面,http://p1.music.126.net/R3QLz43nYuEGlK4ucAaNAg==/109951167256508748.jpg,3:32,1609 kbps,100,https://music.163.com/mv?id=5326277,是,2014-07-02
Seven Nation Army,Ben l'oncle Soul,Vintage Pop,http://p1.music.126.net/u8Yty65vhbVIMTYJBI5l7Q==/1337006139422130.jpg,2:56,833 kbps,95,https://music.163.com/mv?id=10988454,是,2011-05-27
Let Me Down Slowly,Alec Benjamin / Alessia Cara,Let Me Down Slowly,http://p1.music.126.net/STA8799YXcXzfZJsw11S9Q==/109951163781387914.jpg,2:49,924 kbps,100,https://music.163.com/mv?id=10848957,是,2019-01-07
If You Want Me,Glen Hansard / Markéta Irglová,Once (Music from the Motion Picture),http://p1.music.126.net/GGAdhBf76SBPZzCVjRi_gg==/109951165964023079.jpg,3:48,1474 kbps,100,,是,2014-11-03
Fantasy,Alina Baraz / Galimatias,Fantasy,http://p1.music.126.net/3L6rba1Rc3Cmtx2wZ4JJzw==/109951170373532372.jpg,3:38,1041 kbps,100,https://music.163.com/mv?id=425189,是,2015-01-22
凄美地,郭顶,飞行器的执行周期,http://p1.music.126.net/wSMfGvFzOAYRU_yVIfquAA==/2946691248081599.jpg,4:10,935 kbps,100,https://music.163.com/mv?id=5404470,是,2016-10-21
Bossa No Sé,Cuco / Jean Carter,Bossa No Sé,http://p1.music.126.net/aK8vAfJugAsU5jkVskFEQg==/109951164091534045.jpg,3:21,892 kbps,100,https://music.163.com/mv?id=10874661,是,2019-05-22
Puer Man,Kawa乐队,Puer Man,http://p2.music.126.net/9AlRtvUrmtfbWHF75FghJQ==/109951163050444952.jpg,4:30,863 kbps,55,,是,2017-10-25
月球风格爱情,Leo1Bee,Rosy Mercury,http://p2.music.126.net/z4cfqJ2UsXoPa_YCD2Gc5w==/109951164296721520.jpg,4:24,2116 kbps,95,,是,未知日期
Mai Tais,Train / Skylar Grey,Mai Tais,http://p2.music.126.net/H8z8LKTFksiREM7jSB045g==/109951164486127900.jpg,3:44,1578 kbps,90,https://music.163.com/mv?id=14410193,是,2019-11-15
I Don't Miss You at All,FINNEAS,Blood Harmony,http://p1.music.126.net/bXW7QlulzV31BUzQUuHy9A==/109951169157196534.jpg,2:08,700 kbps,100,,是,2019-10-04
Lose,NIKI,Lose,http://p2.music.126.net/L-b2EDxBc-noJDCZOIPIFQ==/109951170289915282.jpg,4:16,1492 kbps,90,https://music.163.com/mv?id=10952510,是,2020-08-13
Miss Riddle,Boz Scaggs,Late Night Moods,http://p2.music.126.net/w07TXw-QN-mAmnNCf_FQvQ==/878509790648835.jpg,6:27,827 kbps,95,,是,2004-04-27
